B365L,Round,Date,winner_name,WRank,Lsets,Comment,tourney_level,PSW,PSL,LRank,Surface,B365W,Wsets,tourney_name,loser_name,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Best of
2.0,1st Round,2025-04-24,Fearnley J.,68.0,0,Completed,Masters 1000,1.83,2.07,72.0,Clay,1.8,2,Mutua Madrid Open,Bu Y.,6.0,3.0,7.0,6.0,,,,,,,3
1.44,2nd Round,2025-04-25,Bonzi B.,62.0,0,Completed,Masters 1000,2.88,1.48,28.0,Clay,2.75,2,Mutua Madrid Open,Hurkacz H.,6.0,4.0,7.0,5.0,,,,,,,3
7.0,2nd Round,2025-04-25,Cerundolo F.,21.0,0,Completed,Masters 1000,1.12,7.22,160.0,Clay,1.1,2,Mutua Madrid Open,Mayot H.,6.0,3.0,6.0,4.0,,,,,,,3
1.2,2nd Round,2025-04-25,Comesana F.,70.0,0,Completed,Masters 1000,5.22,1.19,14.0,Clay,4.5,2,Mutua Madrid Open,Fils A.,7.0,6.0,6.0,4.0,,,,,,,3
6.5,2nd Round,2025-04-25,Ruud C.,15.0,0,Completed,Masters 1000,1.14,6.57,76.0,Clay,1.11,2,Mutua Madrid Open,Rinderknech A.,6.0,3.0,6.0,4.0,,,,,,,3
1.29,2nd Round,2025-04-25,Cerundolo J.M.,126.0,0,Completed,Masters 1000,3.78,1.32,19.0,Clay,3.75,2,Mutua Madrid Open,Auger-Aliassime F.,7.0,6.0,6.0,4.0,,,,,,,3
1.57,2nd Round,2025-04-25,Bublik A.,75.0,0,Completed,Masters 1000,2.46,1.62,26.0,Clay,2.38,2,Mutua Madrid Open,Popyrin A.,6.0,4.0,7.0,6.0,,,,,,,3
5.5,2nd Round,2025-04-25,Korda S.,24.0,1,Completed,Masters 1000,1.16,5.76,373.0,Clay,1.14,2,Mutua Madrid Open,Cina F.,6.0,3.0,3.0,6.0,6.0,1.0,,,,,3
3.2,2nd Round,2025-04-25,Mensik J.,23.0,0,Completed,Masters 1000,1.38,3.21,119.0,Clay,1.36,2,Mutua Madrid Open,Quinn E.,7.0,6.0,6.0,1.0,,,,,,,3
8.0,2nd Round,2025-04-25,Zverev A.,2.0,0,Completed,Masters 1000,1.1,8.32,55.0,Clay,1.05,2,Mutua Madrid Open,Bautista Agut R.,6.0,2.0,6.0,2.0,,,,,,,3
3.75,2nd Round,2025-04-25,Fritz T.,4.0,0,Completed,Masters 1000,1.28,4.0,87.0,Clay,1.29,2,Mutua Madrid Open,O Connell C.,6.0,1.0,6.0,4.0,,,,,,,3
2.2,2nd Round,2025-04-25,Nakashima B.,32.0,0,Completed,Masters 1000,1.67,2.35,153.0,Clay,1.67,2,Mutua Madrid Open,Ofner S.,6.0,3.0,7.0,6.0,,,,,,,3
2.0,2nd Round,2025-04-25,Shelton B.,13.0,1,Completed,Masters 1000,1.82,2.11,85.0,Clay,1.8,2,Mutua Madrid Open,Navone M.,4.0,6.0,7.0,6.0,6.0,3.0,,,,,3
3.0,2nd Round,2025-04-25,Davidovich Fokina A.,29.0,0,Completed,Masters 1000,1.42,3.14,41.0,Clay,1.4,2,Mutua Madrid Open,Borges N.,6.0,2.0,6.0,3.0,,,,,,,3
2.1,2nd Round,2025-04-26,Shapovalov D.,30.0,0,Completed,Masters 1000,1.81,2.12,64.0,Clay,1.73,2,Mutua Madrid Open,Nishikori K.,6.0,1.0,6.0,4.0,,,,,,,3
2.75,2nd Round,2025-04-26,Musetti L.,11.0,0,Completed,Masters 1000,1.46,2.94,51.0,Clay,1.44,2,Mutua Madrid Open,Etcheverry T.,7.0,6.0,6.0,2.0,,,,,,,3
1.25,2nd Round,2025-04-26,Dzumhur D.,63.0,1,Completed,Masters 1000,3.94,1.27,33.0,Clay,4.0,2,Mutua Madrid Open,Baez S.,1.0,6.0,6.0,1.0,6.0,2.0,,,,,3
1.4,2nd Round,2025-04-26,Norrie C.,91.0,1,Completed,Masters 1000,3.16,1.41,27.0,Clay,3.0,2,Mutua Madrid Open,Lehecka J.,2.0,6.0,6.0,4.0,6.0,0.0,,,,,3
5.0,2nd Round,2025-04-26,De Minaur A.,7.0,0,Completed,Masters 1000,1.18,5.43,43.0,Clay,1.17,2,Mutua Madrid Open,Sonego L.,6.0,2.0,6.0,3.0,,,,,,,3
1.8,2nd Round,2025-04-26,Diallo G.,78.0,1,Completed,Masters 1000,2.03,1.88,90.0,Clay,2.0,2,Mutua Madrid Open,Majchrzak K.,7.0,5.0,4.0,6.0,6.0,4.0,,,,,3
4.0,2nd Round,2025-04-26,Tsitsipas S.,18.0,1,Completed,Masters 1000,1.27,4.05,79.0,Clay,1.25,2,Mutua Madrid Open,Struff J.L.,3.0,6.0,6.0,4.0,6.0,3.0,,,,,3
1.3,2nd Round,2025-04-26,Arnaldi M.,44.0,0,Completed,Masters 1000,3.93,1.28,5.0,Clay,3.5,2,Mutua Madrid Open,Djokovic N.,6.0,3.0,6.0,4.0,,,,,,,3
1.44,2nd Round,2025-04-26,Fearnley J.,68.0,1,Completed,Masters 1000,3.2,1.39,20.0,Clay,2.75,2,Mutua Madrid Open,Machac T.,1.0,6.0,6.0,3.0,6.0,2.0,,,,,3
2.38,2nd Round,2025-04-26,Dimitrov G.,16.0,0,Completed,Masters 1000,1.6,2.5,57.0,Clay,1.57,2,Mutua Madrid Open,Jarry N.,6.0,3.0,6.0,4.0,,,,,,,3
1.8,2nd Round,2025-04-26,Muller A.,39.0,1,Completed,Masters 1000,1.99,1.92,22.0,Clay,2.0,2,Mutua Madrid Open,Humbert U.,6.0,2.0,6.0,7.0,7.0,6.0,,,,,3
4.5,2nd Round,2025-04-26,Berrettini M.,31.0,1,Completed,Masters 1000,1.2,5.38,45.0,Clay,1.2,2,Mutua Madrid Open,Giron M.,6.0,7.0,7.0,6.0,6.0,1.0,,,,,3
2.3,2nd Round,2025-04-26,Draper J.,6.0,0,Completed,Masters 1000,1.58,2.55,34.0,Clay,1.62,2,Mutua Madrid Open,Griekspoor T.,6.0,3.0,6.0,4.0,,,,,,,3
3.5,2nd Round,2025-04-26,Khachanov K.,25.0,0,Completed,Masters 1000,1.33,3.53,103.0,Clay,1.3,2,Mutua Madrid Open,Opelka R.,7.0,6.0,7.0,6.0,,,,,,,3
1.53,2nd Round,2025-04-26,Paul T.,12.0,0,Completed,Masters 1000,2.61,1.56,65.0,Clay,2.5,2,Mutua Madrid Open,Fonseca J.,7.0,6.0,7.0,6.0,,,,,,,3
1.57,3rd Round,2025-04-27,Nakashima B.,32.0,0,Completed,Masters 1000,2.57,1.57,36.0,Clay,2.38,2,Mutua Madrid Open,Cobolli F.,7.0,5.0,6.0,3.0,,,,,,,3
1.3,3rd Round,2025-04-27,Bublik A.,75.0,1,Completed,Masters 1000,4.38,1.27,8.0,Clay,3.5,2,Mutua Madrid Open,Rublev A.,6.0,4.0,0.0,6.0,6.0,4.0,,,,,3
3.4,3rd Round,2025-04-27,Zverev A.,2.0,1,Completed,Masters 1000,1.33,3.7,29.0,Clay,1.33,2,Mutua Madrid Open,Davidovich Fokina A.,2.0,6.0,7.0,6.0,7.0,6.0,,,,,3
3.4,3rd Round,2025-04-27,Medvedev D.,10.0,0,Completed,Masters 1000,1.32,3.63,126.0,Clay,1.33,2,Mutua Madrid Open,Cerundolo J.M.,6.0,2.0,6.0,2.0,,,,,,,3
2.2,3rd Round,2025-04-27,Mensik J.,23.0,0,Completed,Masters 1000,1.73,2.24,13.0,Clay,1.67,2,Mutua Madrid Open,Shelton B.,6.0,1.0,6.0,4.0,,,,,,,3
4.0,3rd Round,2025-04-27,Cerundolo F.,21.0,0,Completed,Masters 1000,1.25,4.27,70.0,Clay,1.25,2,Mutua Madrid Open,Comesana F.,6.0,4.0,6.0,4.0,,,,,,,3
3.0,3rd Round,2025-04-27,Ruud C.,15.0,0,Completed,Masters 1000,1.38,3.31,24.0,Clay,1.4,2,Mutua Madrid Open,Korda S.,6.0,3.0,6.0,3.0,,,,,,,3
3.0,3rd Round,2025-04-28,Arnaldi M.,44.0,0,Completed,Masters 1000,1.41,3.15,63.0,Clay,1.4,2,Mutua Madrid Open,Dzumhur D.,6.0,3.0,6.0,4.0,,,,,,,3
4.33,3rd Round,2025-04-29,De Minaur A.,7.0,0,Completed,Masters 1000,1.24,4.37,30.0,Clay,1.22,2,Mutua Madrid Open,Shapovalov D.,6.0,3.0,7.0,6.0,,,,,,,3
2.2,3rd Round,2025-04-29,Paul T.,12.0,1,Completed,Masters 1000,1.78,2.17,25.0,Clay,1.67,2,Mutua Madrid Open,Khachanov K.,6.0,3.0,3.0,6.0,6.0,2.0,,,,,3
2.3,3rd Round,2025-04-29,Tiafoe F.,17.0,0,Completed,Masters 1000,1.71,2.28,39.0,Clay,1.62,2,Mutua Madrid Open,Muller A.,6.0,3.0,6.0,3.0,,,,,,,3
1.8,3rd Round,2025-04-29,Diallo G.,78.0,1,Completed,Masters 1000,2.07,1.85,91.0,Clay,2.0,2,Mutua Madrid Open,Norrie C.,2.0,6.0,6.0,4.0,6.0,4.0,,,,,3
3.4,3rd Round,2025-04-29,Dimitrov G.,16.0,0,Completed,Masters 1000,1.34,3.61,68.0,Clay,1.33,2,Mutua Madrid Open,Fearnley J.,6.0,4.0,7.0,6.0,,,,,,,3
1.8,3rd Round,2025-04-29,Musetti L.,11.0,0,Completed,Masters 1000,2.06,1.85,18.0,Clay,2.0,2,Mutua Madrid Open,Tsitsipas S.,7.0,5.0,7.0,6.0,,,,,,,3
3.4,4th Round,2025-04-29,Mensik J.,23.0,0,Completed,Masters 1000,1.34,3.57,75.0,Clay,1.33,2,Mutua Madrid Open,Bublik A.,6.0,3.0,6.0,2.0,,,,,,,3
1.44,4th Round,2025-04-29,Cerundolo F.,21.0,0,Completed,Masters 1000,2.67,1.54,2.0,Clay,2.75,2,Mutua Madrid Open,Zverev A.,7.0,5.0,6.0,3.0,,,,,,,3
3.2,4th Round,2025-04-29,Medvedev D.,10.0,1,Completed,Masters 1000,1.43,3.1,32.0,Clay,1.36,2,Mutua Madrid Open,Nakashima B.,3.0,6.0,6.0,1.0,6.0,4.0,,,,,3
2.1,4th Round,2025-04-29,Ruud C.,15.0,0,Completed,Masters 1000,1.7,2.29,4.0,Clay,1.73,2,Mutua Madrid Open,Fritz T.,7.0,5.0,6.0,4.0,,,,,,,3
2.1,4th Round,2025-04-30,Arnaldi M.,44.0,0,Completed,Masters 1000,1.79,2.15,17.0,Clay,1.73,2,Mutua Madrid Open,Tiafoe F.,6.0,3.0,7.0,5.0,,,,,,,3
2.5,4th Round,2025-04-30,Draper J.,6.0,0,Completed,Masters 1000,1.61,2.49,12.0,Clay,1.53,2,Mutua Madrid Open,Paul T.,6.0,2.0,6.0,2.0,,,,,,,3
1.36,4th Round,2025-04-30,Diallo G.,78.0,1,Completed,Masters 1000,3.32,1.38,16.0,Clay,3.2,2,Mutua Madrid Open,Dimitrov G.,5.0,7.0,7.0,6.0,6.0,4.0,,,,,3
1.67,4th Round,2025-04-30,Musetti L.,11.0,0,Completed,Masters 1000,2.28,1.71,7.0,Clay,2.2,2,Mutua Madrid Open,De Minaur A.,6.0,4.0,6.0,2.0,,,,,,,3
2.63,Quarterfinals,2025-05-01,Ruud C.,15.0,0,Completed,Masters 1000,1.5,2.8,10.0,Clay,1.5,2,Mutua Madrid Open,Medvedev D.,6.0,3.0,7.0,5.0,,,,,,,3
2.2,Quarterfinals,2025-05-01,Cerundolo F.,21.0,1,Completed,Masters 1000,1.68,2.33,23.0,Clay,1.67,2,Mutua Madrid Open,Mensik J.,3.0,6.0,7.0,6.0,6.0,2.0,,,,,3
3.75,Quarterfinals,2025-05-01,Draper J.,6.0,0,Completed,Masters 1000,1.31,3.81,44.0,Clay,1.29,2,Mutua Madrid Open,Arnaldi M.,6.0,0.0,6.0,4.0,,,,,,,3
4.5,Quarterfinals,2025-05-01,Musetti L.,11.0,0,Completed,Masters 1000,1.22,4.91,78.0,Clay,1.2,2,Mutua Madrid Open,Diallo G.,6.0,4.0,6.0,3.0,,,,,,,3
2.0,Semifinals,2025-05-02,Ruud C.,15.0,0,Completed,Masters 1000,1.93,1.97,21.0,Clay,1.8,2,Mutua Madrid Open,Cerundolo F.,6.0,4.0,7.0,5.0,,,,,,,3
2.5,Semifinals,2025-05-02,Draper J.,6.0,0,Completed,Masters 1000,1.58,2.54,11.0,Clay,1.53,2,Mutua Madrid Open,Musetti L.,6.0,3.0,7.0,6.0,,,,,,,3
1.4,The Final,2025-05-03,Ruud C.,15.0,1,Completed,Masters 1000,2.92,1.47,6.0,Clay,3.0,2,Mutua Madrid Open,Draper J.,7.0,5.0,3.0,6.0,6.0,4.0,,,,,3
